"BMD","BMDL"
138.38,61.0552
138.389,61.0587
138.656,61.0893
138.942,61.1582
138.944,61.6617
139.959,61.9095
139.984,62.0232
140.008,62.302
140.084,62.922
140.125,63.0263
140.25,63.1896
140.262,63.5736
140.952,63.6082
141.026,63.755
141.393,64.0463
141.771,64.4835
142.19,64.5308
142.351,64.9151
142.526,65.1453
142.868,65.3274
142.992,65.3343
143.09,65.37
143.283,65.3869
144,65.4116
144.433,65.5511
145.701,65.6608
145.896,65.6748
146.174,65.7589
146.447,66.062
146.73,66.0711
146.781,66.1622
146.959,66.2288
147.186,66.4003
147.635,66.5085
147.774,66.7887
147.987,67.3164
148.502,67.4626
149.68,67.8943
149.715,68.0362
150.386,68.0901
150.445,68.4144
150.512,68.4678
150.931,68.532
150.994,68.9929
151.013,69.4239
151.058,69.4256
151.382,69.4695
152.833,69.6271
152.857,69.6361
153.595,69.7024
153.739,69.9554
154.252,70.0386
154.588,70.0537
154.649,70.1596
155.017,70.1924
155.611,70.2917
155.637,70.8021
155.859,71.8964
156.262,71.9037
156.27,71.9239
156.303,72.0699
156.324,72.2839
157.029,72.4335
157.086,72.6314
157.111,73.4827
157.387,74.0309
157.684,74.0423
157.765,74.0936
159.005,74.1409
159.489,74.1939
159.55,74.3254
159.574,74.3642
159.647,74.3743
160.863,74.6821
161.071,74.8755
161.602,74.8874
162.287,75.1618
162.377,75.3746
162.989,75.6768
163.286,75.8128
163.46,75.8368
163.479,76.2143
163.759,76.4413
164.191,77.0954
164.373,77.266
165.248,77.4306
165.555,77.6136
166.126,77.9405
166.176,78.4336
166.579,78.5519
166.796,78.7721
167.655,79.044
167.795,79.1073
169.133,80.1374
169.364,80.4551
169.414,81.1329
169.465,82.1226
169.52,82.2463
169.828,82.398
169.975,82.4003
170.066,82.6011
170.764,83.5839
170.96,84.6024
171.005,84.7058
171.176,84.8019
171.41,85.5644
172.449,86.2195
172.505,86.8865
172.709,87.2693
172.872,87.5018
173.003,87.7188
173.122,87.8762
173.31,88.3348
173.327,88.5122
173.465,88.8656
174.262,89.4588
174.341,89.9163
174.401,90.6149
174.47,91.1134
174.601,91.5872
174.745,91.9206
174.84,92.2446
175.587,92.5587
176.088,93.0522
176.363,94.5045
176.443,94.9427
176.854,95.1828
176.936,95.7838
177.04,96.0664
177.103,96.8492
177.157,97.577
177.164,97.9838
177.332,98.0899
177.4,99.4001
177.484,99.6221
177.583,100.1
177.635,100.145
177.637,100.502
177.702,103.845
177.711,104.735
177.792,104.83
177.913,105.791
177.995,106.602
178.109,107.178
178.383,107.26
178.67,107.391
178.888,107.808
179.06,108.258
179.076,108.977
179.101,110.7
179.144,110.899
179.208,111.771
179.32,112.756
179.385,113.139
179.386,113.19
179.523,114.16
179.722,114.594
179.835,115.208
179.992,115.534
180.099,117.154
180.121,117.307
180.286,118.434
180.578,118.461
180.685,118.777
180.751,119.307
180.863,119.487
180.891,120.048
181.11,120.379
181.178,120.512
181.184,122.92
181.231,123.339
181.26,125.007
181.289,129.897
181.323,130.895
181.497,131.965
181.567,133.478
181.63,134.159
181.635,134.936
181.774,134.956
181.849,135.89
181.867,137.137
181.924,138.873
182.077,140.308
182.172,140.323
182.175,140.96
182.264,144.608
182.533,144.956
182.559,145.19
183.088,147.948
183.213,148.373
183.32,148.453
183.627,149.636
183.752,150.623
183.756,151.793
184.859,152.014
185.07,153.731
185.314,153.893
185.354,155.97
185.371,157.073
185.671,157.095
185.785,157.655
186.381,157.718
186.437,158.337
187.17,159.809
187.683,160.701
187.712,161.116
187.819,161.801
189.367,166.625
190.556,173.306
190.978,175.444
198.397,184.467
198.827,185.666
199.582,188.643
